Year,MasterGameID,GameName,EligiblePercentStandardGame,EligiblePercentCounterPick,DateAdjustedHypeFactor,AverageDraftPosition,TotalBidAmount,BidPercentile,CriticScore
2020,6244f164-9cdb-45f8-b5dd-4bfd6a7319ee,Vitamin connection,0.001,0,0.1111,,7,67.6,78.6250
2020,625c14db-0299-4f77-9981-2551ae801ff9,SpongeBob SquarePants: Battle for Bikini Bottom Rehydrated,0.2318,0.0681,17.07869457,29.0291,487,94.3,69.7619
2020,630580a9-82ca-4b8a-b03b-91396f2645ce,Gears Tactics,0.4395,0.0998,31.916120399999997,30.9381,1247,98.4,82.1231
2020,642c892c-f2af-49b1-8351-1c5c5d161c4b,New World,0.0444,0.0151,3.60107532,19.8947,145,87.2,70
2020,6451ee9f-5e0d-4afd-9156-9c8f393f68d1,Hellpoint,0.0081,0.001,0.3402,59,51,79.9,63.3462
2020,64bd4ec2-2dc6-4057-97b8-cfe8ddd58767,Paper Beast,0.0101,0,1.0605,,16,71.8,80.3043
2020,64ef0523-8d2c-46d6-a742-f4e17e4c7af7,Granblue Fantasy Versus,0.2248,0.0262,17.2867416,28.3284,739,96.7,78.9608
2020,664a6d07-694d-4479-bbe3-4d1cb7e30eee,Someday You'll Return,0.002,0,0.21209999999999998,,5,66.5,64.4800
2020,666cf31d-0506-43f9-826a-6056cb65d243,Through the Darkest of Times,0.001,0,0.09240000000000001,17,0,61.3,73.2667
2020,66941d97-0dbd-41de-8839-2c846067be53,Coffee Talk,0.0202,0.004,1.62525,39.5455,22,74.5,73.7826
2020,687bc331-a935-4f75-9a00-6af43fe21664,Hatsune Miku: Project DIVA Mega Mix,0.0867,0.0101,5.866624679999999,35.3778,143,86.9,79.2381
2020,68876a22-e7d1-44ba-a7ec-8511a4cbb8d2,Fight Crab,0.005,0,0.5151,,34,77.4,63.4444
